step,game/actor_reward_mean,game/reference_reward_mean,game/actor_win_rate,game/reward_margin_mean,actor/dpo_loss,time/step
1,0.05,0.0,1.0,0.05,6.222,72.819
2,0.0,0.0,1.0,0.0,48.14,68.767
3,0.0,0.017,0.833,-0.017,10.319,62.969
4,0.017,0.0,1.0,0.017,18.613,57.274
5,0.017,0.0,1.0,0.017,2.159,38.288
6,0.0,0.017,0.833,-0.017,35.55,51.498
7,0.0,0.017,0.833,-0.017,21.133,64.836
8,0.017,0.0,1.0,0.017,0.0,50.526
9,0.05,0.0,1.0,0.05,29.581,61.453
10,0.017,0.0,1.0,0.017,10.0,64.851
11,0.017,0.0,1.0,0.017,0.0,64.537
12,0.05,0.0,1.0,0.05,5.986,46.859
13,0.017,0.0,1.0,0.017,33.33,63.576
14,0.033,0.0,1.0,0.033,11.319,61.055
15,0.017,0.0,1.0,0.017,38.485,64.189
16,0.017,0.0,1.0,0.017,4.297,63.792
17,0.033,0.0,1.0,0.033,19.723,70.731
18,0.017,0.0,1.0,0.017,37.097,64.27
19,0.033,0.0,1.0,0.033,9.106,72.197
20,0.017,0.0,1.0,0.017,14.251,74.486
21,0.017,0.0,1.0,0.017,42.756,93.644
22,0.0,0.0,1.0,0.0,0.0,45.94
23,0.0,0.0,1.0,0.0,43.586,41.146
24,0.017,0.017,0.833,0.0,10.886,53.092
25,0.0,0.0,1.0,0.0,24.498,39.795
26,0.05,0.0,1.0,0.05,23.393,59.034
27,0.0,0.0,1.0,0.0,11.847,43.87
28,0.0,0.0,1.0,0.0,54.075,79.049
29,0.033,0.0,1.0,0.033,12.159,84.674
30,0.017,0.017,0.833,0.0,36.397,71.632
31,0.017,0.033,0.667,-0.017,8.793,84.077
32,0.017,0.017,0.833,0.0,42.266,67.349
33,0.033,0.0,1.0,0.033,0.0,65.691
34,0.017,0.0,1.0,0.017,8.539,66.649
35,0.05,0.0,1.0,0.05,52.041,60.95
36,0.017,0.0,1.0,0.017,26.836,64.498
37,0.033,0.0,1.0,0.033,35.435,67.421
38,0.017,0.0,1.0,0.017,0.0,53.8
39,0.017,0.0,1.0,0.017,19.857,52.454
40,0.033,0.017,0.833,0.017,23.502,53.72
41,0.033,0.0,1.0,0.033,25.808,56.468
42,0.017,0.0,1.0,0.017,14.178,55.408
43,0.05,0.0,1.0,0.05,11.981,51.091
44,0.017,0.0,1.0,0.017,0.0,53.204
45,0.0,0.0,1.0,0.0,32.569,69.688
46,0.05,0.017,0.833,0.033,47.429,78.432
47,0.033,0.0,1.0,0.033,18.579,72.691
48,0.0,0.0,1.0,0.0,15.81,79.385
49,0.0,0.0,1.0,0.0,19.936,83.037
50,0.0,0.0,1.0,0.0,0.0,105.079
51,0.017,0.017,1.0,0.0,17.509,137.627
52,0.017,0.017,0.833,0.0,20.597,137.45
53,0.0,0.0,1.0,0.0,21.346,118.235
54,0.0,0.017,0.833,-0.017,48.196,116.877
55,0.017,0.0,1.0,0.017,0.807,93.048
56,0.0,0.0,1.0,0.0,24.267,124.725
57,0.033,0.0,1.0,0.033,22.463,82.96
58,0.017,0.0,1.0,0.017,17.457,100.187
59,0.0,0.0,1.0,0.0,21.024,85.077
60,0.033,0.0,1.0,0.033,52.825,75.618
61,0.017,0.0,1.0,0.017,2.667,84.523
62,0.033,0.0,1.0,0.033,0.0,88.161
63,0.0,0.0,1.0,0.0,7.524,76.0
64,0.017,0.0,1.0,0.017,0.0,60.638
65,0.05,0.0,1.0,0.05,22.364,54.675
66,0.017,0.0,1.0,0.017,30.581,58.575
67,0.0,0.017,0.833,-0.017,39.355,71.023
